School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location,Iowa ZIP Code Tabulation Areas,Iowa Watersheds (HUC 10),Iowa Watershed Sub-Basins (HUC 08),US Counties
2016,Reading,4,4572,Murray,15,23,65.2,60.1 - 70%,,,,,
2016,Reading,3,3465,Lamoni,12,16,75.0,70.1 - 80%,,,,,
2016,Math,8,6102,Spencer,108,131,82.4,80.1 - 90%,,,,,
2016,Math,6,4269,Midland,17,27,63.0,60.1 - 70%,,,,,
2016,Math,4,0234,Anamosa,62,75,82.7,80.1 - 90%,,,,,
2016,Math,5,6516,Twin Rivers,,,,Not Reportable,,,,,
2016,Math,4,1926,Durant,31,46,67.4,60.1 - 70%,,,,,
2016,Reading,6,3141,Iowa City,708,934,75.8,70.1 - 80%,,,,,
2016,Reading,4,6512,Twin Cedars,23,31,74.2,70.1 - 80%,,,,,
2016,Math,7,0414,Audubon,37,39,94.9,90.1 - 100%,,,,,
2016,Reading,11,5184,Perry,90,122,73.8,70.1 - 80%,,,,,
2016,Math,5,5994,Sibley-Ocheyedan,55,61,90.2,90.1 - 100%,,,,,
2016,Math,8,6462,Tri-County,13,16,81.3,80.1 - 90%,,,,,
2016,Math,7,4869,Oelwein,68,83,81.9,80.1 - 90%,,,,,
2016,Reading,4,3897,LuVerne,,,,Not Reportable,,,,,
2016,Math,8,0999,Carroll,90,102,88.2,80.1 - 90%,,,,,
2016,Reading,4,0243,Andrew,10,15,66.7,60.1 - 70%,,,,,
2016,Math,5,5463,Red Oak,53,66,80.3,80.1 - 90%,,,,,
2016,Reading,7,5751,St Ansgar,45,53,84.9,80.1 - 90%,,,,,
2016,Math,6,4860,Odebolt-Arthur,54,64,84.4,80.1 - 90%,,,,,
2016,Math,8,5256,Pleasantville,39,54,72.2,70.1 - 80%,,,,,
2016,Reading,8,6100,South Winneshiek,21,28,75.0,70.1 - 80%,,,,,
2016,Math,5,3420,Lake Mills,37,43,86.0,80.1 - 90%,,,,,
2016,Reading,4,1368,Columbus,31,47,66.0,60.1 - 70%,,,,,
2016,Math,11,1968,East Marshall,52,61,85.2,80.1 - 90%,,,,,
2016,Math,3,1926,Durant,15,16,93.8,90.1 - 100%,,,,,
2016,Reading,5,7098,Woodbury Central,26,37,70.3,70.1 - 80%,,,,,
2016,Math,4,4572,Murray,19,23,82.6,80.1 - 90%,,,,,
2016,Math,7,6561,United,0,0,0.0,Not Reportable,,,,,
2016,Math,4,6097,South Page,,,,Not Reportable,,,,,
2016,Reading,5,5486,Remsen-Union,17,24,70.8,70.1 - 80%,,,,,
2016,Math,8,1953,Earlham,43,51,84.3,80.1 - 90%,,,,,
2016,Reading,6,6987,West Monona,39,54,72.2,70.1 - 80%,,,,,
2016,Reading,6,0916,CAL,13,16,81.3,80.1 - 90%,,,,,
2016,Reading,11,4978,Orient-Macksburg,8,14,57.1,50.1 - 60%,,,,,
2016,Reading,6,6961,Western Dubuque,164,195,84.1,80.1 - 90%,,,,,
2016,Reading,8,0720,Bondurant-Farrar,114,123,92.7,90.1 - 100%,,,,,
2016,Reading,4,4023,Manson Northwest Webster,29,48,60.4,60.1 - 70%,,,,,
2016,Math,8,5510,Riverside,32,43,74.4,70.1 - 80%,,,,,
2016,Reading,6,3195,Greene County,52,77,67.5,60.1 - 70%,,,,,
2016,Math,11,2826,Harlan,119,123,96.7,90.1 - 100%,,,,,
2016,Reading,4,1963,East Buchanan,39,49,79.6,70.1 - 80%,,,,,
2016,Math,3,4023,Manson Northwest Webster,15,16,93.8,90.1 - 100%,,,,,
2016,Math,6,4122,Martensdale-St Marys,31,37,83.8,80.1 - 90%,,,,,
2016,Math,5,2457,George-Little Rock,23,36,63.9,60.1 - 70%,,,,,
2016,Math,7,6509,Turkey Valley,10,12,83.3,80.1 - 90%,,,,,
2016,Reading,5,1701,Denison,102,135,75.6,70.1 - 80%,,,,,
2016,Math,8,0513,Baxter,22,28,78.6,70.1 - 80%,,,,,
2016,Reading,6,0594,Belmond-Klemme,50,60,83.3,80.1 - 90%,,,,,
2016,Math,11,4995,Osage,71,77,92.2,90.1 - 100%,,,,,
2016,Math,11,5751,St Ansgar,45,49,91.8,90.1 - 100%,,,,,
2016,Math,11,6093,Solon,84,88,95.5,90.1 - 100%,,,,,
2016,Math,4,5508,Riceville,21,21,100.0,90.1 - 100%,,,,,
2016,Math,4,1431,Corning,22,25,88.0,80.1 - 90%,,,,,
2016,Math,8,2466,Gilbert,92,98,93.9,90.1 - 100%,,,,,
2016,Reading,11,1602,Danville,33,44,75.0,70.1 - 80%,,,,,
2016,Reading,7,2369,Fremont-Mills,25,28,89.3,80.1 - 90%,,,,,
2016,Math,11,3744,Lisbon,33,41,80.5,80.1 - 90%,,,,,
2016,Math,5,4978,Orient-Macksburg,,,,Not Reportable,,,,,
